pull #, date,Accessories,Books,Bags,Cellphones,Clothing,Money,Eletronics,Entrainment,Glasses,Shoes,Household Items,indentification,Jewlery,Keys,Medical Equipment,Miscellaneous,Instruments,NYCT Equipment,Sports Equipment,Tickets,Tools,Toys,Wallets/Purses
1,2014-08-17,11987,11072,38549,65348,21023,30192,8649,2565,8653,4857,1857,115288,5490,11816,5306,33083,438,311,1121,30339,723,1155,205070
2,2014-08-18,11987,11072,38549,65348,21023,30192,8649,2565,8653,4857,1857,115288,5490,11816,5306,33083,438,311,1121,30339,723,1155,205070
3,2014-08-19,11990,11074,38565,65412,21027,30205,8655,2565,8657,4858,1859,115374,5492,11826,5306,33096,438,315,1121,30352,723,1155,205198
4,2014-08-20,11997,11080,38601,65474,21052,30231,8664,2565,8664,4868,1863,115537,5495,11834,5310,33126,438,316,1123,30380,723,1158,205440
5,2014-08-21,12003,11085,38637,65554,21083,30251,8672,2573,8668,4873,1868,115635,5502,11841,5317,33167,438,316,1123,30394,725,1158,205616
6,2014-08-22,12014,11090,38663,65626,21096,30274,8682,2575,8682,4878,1875,115750,5508,11856,5326,33193,438,316,1125,30423,725,1162,205822
7,2014-08-24,12018,11092,38681,65644,21110,30291,8686,2575,8682,4880,1875,115817,5508,11859,5330,33213,438,316,1126,30441,725,1163,205936
8,2014-08-25,12018,11093,38685,65674,21116,30302,8689,2576,8682,4881,1875,115881,5510,11866,5330,33219,438,316,1126,30452,725,1163,206026
9,2014-08-26,12018,11093,38685,65674,21116,30302,8689,2576,8682,4881,1875,115881,5510,11866,5330,33219,438,316,1126,30452,725,1163,206026
10,2014-08-27,12030,11110,38730,65786,21144,30337,8709,2581,8696,4891,1877,116111,5521,11884,5332,33270,438,317,1128,30518,728,1163,206410
11,2014-08-28,12030,11110,38730,65786,21144,30337,8709,2581,8696,4891,1877,116111,5521,11884,5332,33270,438,317,1128,30518,728,1163,206410
12,2014-08-29,12041,11117,38775,65876,21180,30372,8721,2584,8708,4900,1878,116282,5523,11899,5339,33313,438,317,1129,30558,730,1167,206695
13,2014-08-30,12041,11117,38775,65876,21180,30372,8721,2584,8708,4900,1878,116282,5523,11899,5339,33313,438,317,1129,30558,730,1167,206695
14,2014-08-31,12041,11117,38775,65876,21180,30372,8721,2584,8708,4900,1878,116282,5523,11899,5339,33313,438,317,1129,30558,730,1167,206695
